Frame_Width (mm),Lens_Height (mm),Temple_Length (mm),Lens_Thickness (mm),Weight (g),Price ($)
128,31,134,2.2279265979730405,24.3154187158351,231.76618904046362
143,39,138,1.8771309909533103,37.05430460494196,319.4823546015984
120,44,148,4.169408250824623,47.41668091623385,478.4536037982756
131,41,144,2.3288366959150353,21.95597844513751,207.02374772637984
127,46,142,2.381939965062152,47.257785904777315,230.3852797706523
143,33,141,2.8120272547738363,38.20513104402082,177.84771792287114
130,36,134,4.60918115496169,49.756655999136896,291.73547420863656
138,38,131,3.752692128106732,40.77605962584208,271.8503881110784
136,48,133,1.2469988166711108,38.3730189251057,294.27889060434984
127,36,147,1.1570476841462964,43.52161101859882,396.4661660140365
122,31,139,3.2655569183081017,21.129911175160238,285.3417620719643
122,35,142,4.548242246908831,48.10949645616724,364.65324181422164
120,47,141,2.2930059040023645,20.795842807162188,264.6623933841316
146,35,131,1.9910873156086737,15.898462946375897,147.69207156988801
124,42,144,3.9927641812523165,39.42498944192097,290.62498303256444
129,48,143,3.4083654658793097,21.460839914509176,154.3852794343802
126,31,139,3.2601093694272203,41.55636128711596,336.4002887307093
145,41,137,1.5972047965741645,42.82636422938321,211.89165748556005
128,44,144,1.7038452746439425,23.28447342293876,322.6650429079828
147,43,142,2.127151103696097,18.035211570132397,311.89237740117903
126,35,137,1.8273557387277477,32.52873381975799,360.356072723106
128,47,143,4.885778980185744,46.157647869890184,320.75707348771994
127,34,130,1.0744440654246294,44.65518853602827,263.1140630694487
131,47,142,3.5042253537172963,19.09788597750941,341.2023188296487
121,32,137,3.070395299501753,48.7674142581485,353.2578131862463
120,32,147,2.293004943593745,24.238221838557884,274.51662433470506
135,39,138,4.5503548484159015,27.22869119580642,327.30010923344065
142,48,142,3.680650310157129,20.216758507524595,222.82960777447113
142,32,132,4.993417405292906,28.22310379399261,217.20320989552195
149,41,147,1.6746238373059414,37.2474387211888,265.67943545435077
143,45,139,1.351471343471315,32.712739104124225,222.8331069438067
124,46,134,1.5575890698653758,43.963881977197474,239.611672163908
122,36,135,2.077163870338385,37.445528393988766,224.46598520147168
131,42,137,2.6671479662718243,24.22405650072565,224.57386889031773
127,31,136,4.450413140007772,34.51033110658915,374.4066128613235
141,33,147,2.1343670653155464,17.246689406087338,213.21887888470908
146,39,143,4.660973240110729,35.327669626056135,245.03750241542565
122,36,144,2.8516307536188665,28.638234033916397,235.12979301953249
120,46,139,3.5882800741559304,18.443947221953966,236.50006196506166
122,49,141,2.057630856223803,25.76123835467736,69.8456309300764
124,35,136,1.6240552640941517,46.43304474103447,279.74276198887355
134,48,136,4.477827762632197,35.51132816005662,294.3000104650993
133,34,140,1.4380247220806557,46.61426971300679,290.7000200911169
122,39,142,4.096085223068091,29.378139544109864,268.8681697259923
120,38,144,3.32393722430743,49.26180097865308,399.4284739800515
124,42,147,4.444551126715396,27.600666872436662,331.60473495244497
145,48,136,3.8712736483927084,41.488161530092825,257.0458014162648
142,35,135,2.126656408446167,25.68910792180199,219.10984352270142
133,33,140,3.297710389029105,18.709669195748553,219.04076657702274
126,32,137,1.0522944784217891,44.15698088574672,213.77297380815443
146,32,149,2.900873369489716,41.69035344045559,327.5745246508009
128,33,130,1.3440545422881427,43.72201618364062,184.772177388065
134,34,137,2.7157799912413187,25.48930860899642,232.46001593885313
134,37,137,1.4384472319947088,39.62815689603396,241.29356257874318
145,45,148,4.82191922778166,22.697299671199772,254.25367912361853
129,32,132,3.0922718296309113,15.395903769151962,320.0336072594113
147,41,134,4.652871941106573,45.327107147248384,375.0264477571106
132,37,132,1.0894648918630634,33.32339204695975,294.66523291172217
138,42,144,3.5506131355275916,49.427866811873095,310.1162437580622
126,33,143,2.227818007706481,28.476249321631137,281.1428269060126
136,43,144,2.727315983860945,48.49055524463146,287.5809472733674
139,43,146,4.492349580858759,36.52700422153958,250.11781439064532
148,42,147,4.920084379034979,32.92717751429022,303.8796309904891
123,35,131,1.9859678177334095,25.598336111291157,205.4411377648023
149,46,141,4.793013141413207,43.88467194454593,316.17067700009727
124,33,145,3.7549077955268766,44.00781612298931,295.25122076279763
142,37,133,4.805655657429083,29.592533627122897,352.47051267383034
126,46,131,3.24946799448484,40.45525996803924,336.87110894016837
132,32,143,4.843025139965882,30.65332775223952,381.3891783140957
134,46,140,4.569821832589735,40.888075306333675,328.2541060886721
130,38,142,1.5143669649017841,49.796655485151874,296.6124050620637
148,31,136,2.243159708406922,24.187370981743907,185.8397062007047
123,42,139,1.9722527660500475,37.19183600129058,328.39854878301594
132,49,130,3.288397304201028,28.295728778729718,304.75388790728425
126,31,133,4.211197726023701,34.19300472769761,234.43398024382395
146,49,147,4.037645787547525,45.59515481038318,321.4517923205471
138,40,135,3.906996529133907,27.16515543056292,305.97991385977406
141,44,131,2.5010595029423435,17.533590574943272,167.76086769136043
147,40,132,1.5585475265113118,42.96280148350357,304.15257648196103
121,32,143,1.842334214514397,34.425869932113216,322.08063875332454
129,32,137,3.9667098385933306,30.72903314997234,173.48857508088793
132,41,145,1.590137356238253,21.416656641357463,241.1048394906584
149,34,148,1.8917868197340844,18.249845609660458,153.1029736580923
144,49,147,2.698210611493965,24.75574458685938,211.39278205189086
140,36,135,1.288449722749852,40.161649217164324,215.1152767494605
125,36,143,1.8507682430805192,29.411982502405728,222.0175416927846
147,42,132,1.5990725093649463,34.95796555849675,277.2339587906772
147,38,145,4.805287131647361,17.87159437820433,312.1066210059919
131,42,130,1.7661035421795566,19.313506523529696,207.66119212874904
131,41,141,4.447078840681575,15.395704081275628,361.39368821577415
139,42,143,1.4591927650664336,38.56495576921728,282.4338142282948
149,39,148,4.478692529210029,24.2559082870947,256.9194536438468
149,30,148,3.3977351450938786,48.84243050416067,364.74998009463303
130,37,138,4.398823692898471,25.795953361451843,317.0222773310837
145,45,136,4.46939475414943,27.726631360310392,335.377732334241
142,42,143,3.3854941226696362,31.432144100669838,207.74693144893004
147,32,134,4.670776613580096,26.169926207726753,306.40001883378534
144,32,147,3.341793165938492,43.61051276570068,360.3419477740561
126,34,138,3.8502603115135012,45.66723834992939,326.7971059330705
149,40,136,2.6643219086753307,15.386262772290833,259.27723312330045
120,36,138,4.656270777883949,37.91315699964839,273.07933664229273
120,39,133,4.2966501556481065,39.01308979646437,295.1384698271915
144,39,146,1.66685244646771,48.64987068093284,362.77566482671705
146,49,141,3.305551400818795,27.963971904379537,263.04239378138885
149,31,135,4.587309316347786,21.834798892169225,267.0609037457789
144,32,147,4.172257974635803,33.22033743397644,310.3126718229993
139,37,137,4.8502111226453,30.66444896024365,350.86014100487785
132,40,144,1.9252067477903791,42.710601296142016,206.01272897360013
128,42,132,2.469838532521912,46.63914044324392,274.49242192738427
122,36,131,3.0287675520725252,18.034780967275047,335.621371420106
126,42,138,1.9306766801090598,44.63028175271181,247.18742874143584
125,31,137,2.576181020755276,46.81398073775221,263.92382349245526
127,35,133,3.15015681769733,47.344755739252506,263.6556315157142
146,38,131,1.7653568120053627,41.75084505979217,274.77725626944635
128,49,143,2.0267512748103225,40.97288963164273,270.90882842218457
149,31,131,1.4993699992351779,15.521387125084802,277.2344039793399
124,47,131,3.853525639542994,47.20670678714399,243.54638241327075
120,45,136,2.446207706144532,27.30268248330718,227.42114036526138
138,41,141,1.8810646127351536,16.439266381608732,258.44031169798086
129,36,135,3.02929659672381,29.454275853728127,186.1574565751543
131,36,147,1.2729972227409907,40.64984216446923,232.6474683938249
143,46,133,4.693626425273579,30.46843205687837,285.97913767712924
134,42,148,2.177870084629057,41.530388131525804,341.53599169054513
146,40,142,4.545857392735448,32.82932994189325,352.1647455441628
141,35,149,2.990480261298588,25.47995018444332,430.76173568507477
143,43,131,4.400601990842562,22.101932045373644,309.1482483778068
128,35,137,1.988257763158578,29.73861533737923,269.56164474966596
139,35,148,1.7010824089710121,16.25312080998773,264.3101885512918
136,31,138,4.397647212939313,29.789036674944256,212.38284234730094
149,49,133,1.8516955294868436,17.401703386761852,174.4374390788704
136,44,145,3.9847813971983204,45.69516477092796,329.63398349058605
145,46,148,2.3783351786385296,35.14183611466294,253.7127396555242
139,37,139,3.9927749057406454,37.61150370255909,303.488473627751
131,34,135,4.630585063953321,25.11023966552636,232.1366826464612
149,46,145,4.926553725149173,22.903737677484095,269.87351183282135
126,49,139,2.4392379090745337,39.77668372106923,267.4743029416995
121,30,142,2.470103338562185,38.50479190576385,324.50441201160635
122,47,138,4.925550947139419,19.293745972388777,286.6226870003764
136,44,136,4.446112521192154,23.35244840855848,182.793717929263
124,34,133,1.1803678876455121,48.13015252645735,249.43370950203095
136,36,148,3.2937999449060817,25.646209893604173,358.16243151541
143,47,133,1.7249790861937533,15.904102861178359,174.31119655967362
136,35,148,4.9760501443728735,17.232371778912864,355.83068976950966
146,34,148,1.5556920494838948,42.142317893247665,223.6761954695883
136,48,141,3.2373904501714663,41.50044895979268,290.4055368004123
121,39,142,3.6607934801167326,28.363954430185267,281.4772709122935
121,44,133,4.748258618616225,20.362027175555383,270.4348497654041
147,39,139,4.389033246576748,32.43368259213865,265.7080830101821
141,45,136,1.983019085311132,26.616102932716284,142.00451019427564
142,41,134,3.290495805170018,28.08889217640116,255.40131581425337
124,47,146,4.814295831623533,24.13448739307871,294.2363664509307
120,30,147,3.9428673884197507,17.200026944831045,203.3976636997893
120,45,140,3.753345393519575,42.69057468947701,265.44947205184087
138,35,144,4.019604317124626,36.63772886904484,370.59559066045534
149,32,136,2.290024755951279,44.21222933193558,369.6970584268886
121,31,147,3.9170090776129447,32.61206920842574,328.2863470172355
140,31,135,1.9314190057876637,49.47453236867862,373.33095195968394
131,42,147,2.7124110836310136,48.688371829161184,225.42961814295347
145,38,145,4.559715268754026,24.51242204837898,334.1023834673892
125,45,131,1.0758845859630068,28.54419232371069,197.7437630059942
142,34,148,2.657274601009387,41.34482945397659,305.0252489577188
123,36,130,2.067287066956238,42.18112116922215,260.2682464962629
142,42,140,1.7943584659744376,46.87446976840782,287.68245895390487
130,49,149,4.354301685890049,37.842184176078874,314.2030622136104
143,42,134,3.7859942913799123,31.629234191962244,395.79370114088493
146,36,145,1.450530881645927,28.217804237912844,263.7710392664562
136,39,130,2.9778533060047576,29.67124929889578,316.91215472084866
125,44,148,2.8676230873084445,44.76418028700698,339.9056968784624
143,35,143,1.570111176117634,49.30030952625881,239.01461615188364
124,34,132,4.199050803964833,16.816821472198775,196.08424638951303
139,31,131,2.466695885816799,35.30856320641542,273.46447570896754
121,44,134,4.047751100641578,33.2018890221353,259.39663201588695
125,45,146,1.7682504603288498,28.16497961968176,314.57836098103553
141,48,147,2.2602938464553293,44.8051755059161,372.6890115725707
130,38,130,1.3806837908106635,35.15100559132223,300.8536514850654
135,48,144,1.5739170789824328,25.95906217817348,301.95121559936024
135,36,138,4.532733961410932,30.543641341798505,293.2551490341101
120,33,134,1.4364505767423101,27.488124508436087,295.49624003768537
128,32,142,1.3829248291437728,30.052996270063908,242.0745803851251
147,49,148,4.761509243346639,17.49430266203841,359.5590091814689
146,40,139,3.5836138386430703,18.91705356759226,225.63709402344708
125,30,149,1.4036639342176778,36.82920891562634,385.2775391642062
135,35,143,4.886866956264205,38.942393208875345,250.8001461602791
148,40,141,1.5884000420131885,37.281714534343756,277.3103490532602
122,30,140,4.065382901141712,41.7076389089022,375.0966716532917
139,36,136,1.1394054465583459,48.02369075172092,171.24584735160929
147,35,146,3.498167189359246,45.12164074124293,298.92506346810563
146,43,147,3.1868154884115834,29.647835277993522,257.02315288108696
123,31,136,1.8320152417012046,22.614009792244637,113.44250673719735
138,33,149,3.572584570881665,25.9148274060438,237.56680510795672
145,40,135,3.4682119727095544,35.57095207808523,296.0671721578058
122,44,140,4.193406861855907,44.96729170601485,249.30440281706387
138,47,141,4.503496234401782,39.56034432276415,407.97156557689783
139,30,145,3.040419762614264,34.00545866691736,319.17519692594465
126,32,148,2.961180773936645,36.06574258460121,277.90572490685645
139,32,148,3.486383083778791,33.489142480490656,327.69086391730724
128,36,140,3.9168303569192524,49.00696289653705,391.50536953589835
120,30,145,2.4246846897674983,43.563200828944616,321.88748510209035
127,40,141,3.0185675334649136,42.344702539040206,248.3071843174015
126,35,137,3.3404167432926934,33.10651454023062,297.6092362173784
137,49,132,4.953512335343644,26.613331014933944,289.8469840351025
127,32,131,3.3508487858236666,15.682993301821618,233.54613212056182
120,48,135,1.8967462029690267,16.520050852590195,212.16084683543625
130,31,145,3.351959432961043,16.05832738068557,188.62997679502035
147,47,149,4.277998331796073,49.31668683722039,443.7265648795007
144,41,144,4.429614720044763,19.006881846376167,371.28728773988223
144,39,143,4.201001818372047,19.97415985415328,242.21663214187433
137,34,131,4.552837661155367,31.9452495610335,350.65441955891407
142,38,149,2.33906536751651,31.849040841260564,319.7884860986967
149,31,147,3.030282483810648,47.199081854977415,285.40473299890874
129,31,143,4.118364384030176,17.573645608552308,262.0816867717783
122,35,147,2.0577998030363935,48.50337078048445,286.44105470944356
126,39,131,2.4863257514068042,22.57365834193531,204.66246998544506
147,47,130,4.324622618224048,48.95538332566916,335.7097355546997
135,41,149,4.080342598481932,33.94634345809155,307.62866709352784
145,33,131,4.884798271664356,37.82044610758605,186.5757684021928
135,46,138,4.983896234058601,26.050507043122654,333.40930958737044
144,44,138,1.9629781878855161,36.413838288485834,216.98302463534898
139,35,145,4.601799944694694,39.87904229647892,330.7110054979236
147,45,140,1.3780620054002766,15.362955855230695,366.84107096713427
136,46,135,3.839200835856222,16.19799488135964,179.75041992637426
121,32,141,1.8803975507022037,49.52669541784047,316.83729408311183
120,39,132,2.201244627690251,31.01449867124854,207.27903664622738
135,34,141,4.785284710658168,47.75361339027941,332.98072652729627
149,43,130,2.0526049469368477,40.5464165885834,223.51730925760856
131,42,138,3.692711476642521,28.053890778858488,335.2994207429307
124,35,149,1.7125140314530247,20.279470163048543,194.3483830193619
124,41,135,1.3735599102819505,49.23531065675741,326.1952262721301
146,37,140,2.3572681013754577,35.45736899844355,381.5767222039557
142,34,132,3.496784403157925,21.732481817897497,378.0297399497099
128,44,133,1.9917805750163247,38.85785431031614,130.2827196893459
128,45,139,2.200675194686696,18.221697844061826,262.761199261807
122,30,148,3.8349192744258205,45.38130479090559,364.25558884527777
138,45,135,1.4111840919254761,18.154807153936865,214.6704990298588
135,34,130,2.78762036721403,23.266802540190916,276.28822837896706
135,32,137,4.766938119528897,18.200078189958138,227.35541580906954
122,49,137,2.5878866496569,18.632552589731304,291.4174447920075
139,44,135,2.7368041119097573,33.33419537807139,282.39096485242334
143,42,146,3.952817214429156,39.04464308957873,437.13604489353986
141,45,148,4.116046088131387,42.59686241710837,384.0958378776025
143,40,130,4.078425559122098,39.32693513607327,197.01408094321152
120,31,144,4.991468099654289,27.72214342126248,217.8221821059407
143,35,142,1.2858043499482292,34.50507254664686,298.89499544780136
139,35,132,4.929013138531998,47.46824260498807,292.44801712169425
130,43,131,4.800758467989596,28.565181551391948,289.7702612227931
136,40,132,4.408555601038232,23.83415291598433,250.5243033685177
127,37,138,2.816502303408167,33.176177444632216,190.9565017258561
123,37,145,4.4836094865356975,25.40673241447343,317.6198800923613
125,30,142,1.8833296492243807,24.163596818665656,235.14531810978934
127,36,148,4.166623341551321,42.25811554386421,339.2599053577132
139,35,147,1.7409532124842166,46.179255008913756,380.47028314783154
149,37,141,4.261448013884719,32.58108389621331,302.55106283056244
122,48,141,3.4581165330562276,42.29240086885754,293.6147089758949
135,49,130,1.392125118054102,21.54812991690344,116.77646180649339
149,37,149,4.581278221428901,34.16750545625467,348.33240149017183
144,43,137,3.3118287818209775,37.26699799469831,391.35007937609294
122,47,146,3.6249931125484585,32.17324587358702,322.97791894116244
144,45,149,2.13404014260644,19.09080757218687,244.5924268363158
148,38,136,4.486542015691226,40.693508113667704,239.78095599010953
137,44,138,3.180802940614254,44.367736201632475,228.26173328987565
133,39,146,2.684481137166014,37.23291892435106,306.37490215032614
137,45,139,3.13712698091327,20.920635056588957,252.23575761593696
121,33,133,3.8132523258711064,17.609335394699006,149.53208805311678
141,49,136,3.7801915027970803,25.556136786106762,212.561850502837
122,42,136,2.430308403831251,16.29465391476468,311.0078820989148
135,34,137,2.541033120425042,44.37266536585268,348.9435917105643
148,36,137,3.2489527713537085,39.607115402457325,258.1023183159195
128,38,145,4.697628482867952,34.72910313502203,372.1967340504743
123,37,141,3.981721067863902,46.13713762193061,342.41874928965075
120,45,144,2.5616599414622265,18.853272491952488,221.802449249979
123,35,137,2.3481305062070446,40.00609124566117,254.0434466753405
120,45,138,3.094546696549258,20.132127242661127,281.00424763724203
133,35,132,4.479965475658378,17.13238993690397,257.44868329406967
140,43,145,1.0347169663835007,19.651657757997793,240.41414070593578
135,30,144,3.8419442731582563,48.282903174801625,359.82893116348583
139,38,133,2.1780490217510677,30.415168463031367,290.5990948292832
143,42,149,1.8335899208646795,16.714849367799236,166.304554787701
127,48,145,1.0485519872670355,35.427212688919184,272.3875978641494
126,46,139,4.586362482501908,21.989992314639757,282.5205005552362
122,40,140,4.648993880025762,15.23927435909184,303.592217291691
136,37,134,1.2456697665752805,41.543502805540335,278.8739956732056
120,34,140,3.0872612922054423,20.420207762195247,260.36651375150836
135,39,142,1.6102978346944394,47.987026532595664,334.72140989651297
131,36,144,4.034750218593096,35.74799540753005,297.8449834469343
146,39,135,3.6615658870645875,18.044853788922406,367.1623120520421
138,33,145,2.1885232518205773,22.623855003525698,255.58821731229784
141,38,144,1.4678411241614615,36.37956230409454,262.8543982920641
142,43,140,4.324882651229554,26.83394548169669,273.4644783241371
141,31,149,3.697009917139404,33.62500678671826,319.9804244948124
133,38,131,1.0272797800102111,42.98292163087295,353.89555997365005
149,30,131,3.511487123744421,42.74105278831436,283.30342740212296
125,39,141,4.241184110785383,39.42953813940719,319.92341185287717
125,39,145,3.3630722383059313,46.01190071454951,345.32329045833154
132,49,148,2.6988547067068787,21.97762420522637,253.80845169667563
138,32,131,3.33567351416926,21.203452099285496,248.30383016758594
141,35,146,3.4788482269893892,42.97723306887007,288.66383102182743
127,35,143,3.5601384957685234,26.231127117973546,269.22374431213905
146,31,145,4.868180215617454,32.92638445893568,354.38406630898834
146,47,134,1.7145911502334332,41.038325205184094,288.97131371337395
121,31,139,3.492372509255623,28.857632575302173,254.4468924613496
140,41,146,1.7519732785187379,19.55568050679747,185.98606909373467
149,34,142,1.8398268809960472,38.7810020625552,349.37860320736064
120,49,145,3.6770315348294673,43.60057853967851,308.7997110174851
147,36,138,4.663816339887932,15.447904925330421,215.61966358875802
134,45,133,1.6361769883969663,34.68932406692106,192.3014244426142
120,49,145,4.849862135025704,31.42917823391473,204.6421936477875
124,30,140,2.277489304064916,24.085860228455182,327.8272710876268
147,30,136,2.5652561738272004,20.635999849197486,368.86137218727026
148,46,146,1.6147232957553501,21.58130589518886,182.30941231667094
135,30,142,3.4633444234066015,40.37406144786489,239.7937020444482
138,49,133,3.385681978495869,33.766829695026686,325.48395113332117
123,42,143,2.769078972410597,49.3404033467231,357.2186992678905
122,38,139,2.9043655595373434,23.51307793882537,119.9834004007916
136,44,139,3.491903503147563,48.491646187571135,267.9995859419114
136,32,139,3.3339861398574335,33.028834576843074,379.06817042854647
131,43,141,2.497053526593646,20.110923217714916,308.2907794902016
147,40,131,4.536457541199466,20.186266494475262,371.6207776401732
149,41,138,3.670642092509424,36.29987966715552,217.04339085710242
148,42,134,1.821625322399235,44.09979613211624,284.9941574384038
133,42,137,2.2796119740229095,41.169903383873006,281.43803916718423
140,30,143,4.151512406813014,37.946956992245994,390.7980214538711
125,39,136,1.4181015240803978,21.023782187088358,196.54042274828487
122,32,136,4.000927994897188,18.791900201982862,204.4034091373068
